lemma,word,type
-algie,-algie,noun
-ant,,noun
-anz,-anz,noun
-chen,-chen,noun
-elchen,-elchen,noun
-enz,-enz,noun
-er,-er,noun
-erchen,-erchen,noun
-ette,-ette,noun
-heit,-heit,noun
-ier,-ier,noun
-ier,-ier,noun
-in,-in,noun
-ismus,-ismus,noun
-keit,-keit,noun
-kunde,-kunde,noun
-le,-le,noun
-lein,-lein,noun
-ling,-ling,noun
-loge,-loge,noun
-logie,-logie,noun
-manie,-manie,noun
-mantie,-mantie,noun
-meter,-meter,noun
-meter,-meter,noun
-phagie,-phagie,noun
-philie,-philie,noun
-phobie,-phobie,noun
-sal,,noun
-schaft,-schaft,noun
-schrecke,-schrecke,noun
-skopie,-skopie,noun
-stan,-stan,noun
-tum,,noun
-ung,-ung,noun
-urie,-urie,noun
"0,2-Liter-Flasche","0,2-Liter-Flasche",noun
"0,33-Liter-Flasche","0,33-Liter-Flasche",noun
"0,5-Liter-Flasche","0,5-Liter-Flasche",noun
"0,7-Liter-Flasche","0,7-Liter-Flasche",noun
"0,75-Liter-Flasche","0,75-Liter-Flasche",noun
"1,2,3-Propentricarbonsäure","1,2,3-Propentricarbonsäure",noun
"1,2-Benzoldicarbonsäure","1,2-Benzoldicarbonsäure",noun
"1,2-Butandiol","1,2-Butandiol",noun
"1,2-Dihydroxypropan","1,2-Dihydroxypropan",noun
"1,2-Propandiol","1,2-Propandiol",noun
"1,2-Propylenglycol","1,2-Propylenglycol",noun
"1,4-Benzoldicarbonsäure","1,4-Benzoldicarbonsäure",noun
"1,4-Butandiol","1,4-Butandiol",noun
"1,5-Grad-Ziel","1,5-Grad-Ziel",noun
"1,6-Liter-Benziner","1,6-Liter-Benziner",noun
1-Benzolethansäure,1-Benzolethansäure,noun
1-Butanol,1-Butanol,noun
1-Cent-Münze,1-Cent-Münze,noun
1-Cent-Stück,1-Cent-Stück,noun
1-Dodecanol,1-Dodecanol,noun
1-Euro-Job,1-Euro-Job,noun
1-Euro-Jobber,1-Euro-Jobber,noun
1-Euro-Münze,1-Euro-Münze,noun
1-Euro-Stück,1-Euro-Stück,noun
1-Hexanol,1-Hexanol,noun
1-Meter-Brett,1-Meter-Brett,noun
1-Pentanol,1-Pentanol,noun
1-Raum-Wohnung,1-Raum-Wohnung,noun
1-Zimmer-Wohnung,1-Zimmer-Wohnung,noun
1-m-Brett,1-m-Brett,noun
1. Johannesbrief,,noun
1. Korintherbrief,1. Korintherbrief,noun
1. Petrusbrief,,noun
1. Thessalonicherbrief,,noun
1. Timotheusbrief,,noun
1. Weltkrieg,1. Weltkrieg,noun
10-Cent-Münze,10-Cent-Münze,noun
10-Cent-Stück,10-Cent-Stück,noun
10-Euro-Schein,10-Euro-Schein,noun
10-Franken-Note,10-Franken-Note,noun
10-Franken-Schein,10-Franken-Schein,noun
10-Mark-Schein,10-Mark-Schein,noun
10-Meter-Brett,10-Meter-Brett,noun
10-Pfennig-Stück,10-Pfennig-Stück,noun
10-Uhr-Vorstellung,10-Uhr-Vorstellung,noun
10-Uhr-Zug,10-Uhr-Zug,noun
10-m-Brett,10-m-Brett,noun
100-Euro-Schein,100-Euro-Schein,noun
100-Franken-Note,100-Franken-Note,noun
100-Franken-Schein,100-Franken-Schein,noun
100-Mark-Schein,100-Mark-Schein,noun
100-Meter-Hürdenlauf,100-Meter-Hürdenlauf,noun
100-Meter-Lauf,100-Meter-Lauf,noun
100-Watt-Glühbirne,100-Watt-Glühbirne,noun
100-m-Hürdenlauf,100-m-Hürdenlauf,noun
100-m-Lauf,100-m-Lauf,noun
1000-Franken-Note,1000-Franken-Note,noun
1000-Franken-Schein,1000-Franken-Schein,noun
1000-Mark-Schein,1000-Mark-Schein,noun
102-Jährige,,noun
102-Jähriger,,noun
11. September,11. September,noun
110-Meter-Hürdenlauf,110-Meter-Hürdenlauf,noun
110-m-Hürdenlauf,110-m-Hürdenlauf,noun
1G-Regel,1G-Regel,noun
"2,3,4,5,6-Pentahydroxyhexansäure","2,3,4,5,6-Pentahydroxyhexansäure",noun
"2,3-Dihydroxybernsteinsäure","2,3-Dihydroxybernsteinsäure",noun
"2,3-Dihydroxybutandisäure","2,3-Dihydroxybutandisäure",noun
"2,4,6-Trihydroxypyrimidin","2,4,6-Trihydroxypyrimidin",noun
"2,4,6-Trinitrophenol","2,4,6-Trinitrophenol",noun
"2,6,8-Trihydroxypurin","2,6,8-Trihydroxypurin",noun
2-Acetoxybenzoesäure,2-Acetoxybenzoesäure,noun
2-Amino-3-methylbutansäure,2-Amino-3-methylbutansäure,noun
2-Aminobutandisäure,2-Aminobutandisäure,noun
2-Aminoisovaleriansäure,2-Aminoisovaleriansäure,noun
2-Butanon,2-Butanon,noun
2-Butin,2-Butin,noun
2-Cent-Münze,2-Cent-Münze,noun
2-Cent-Stück,2-Cent-Stück,noun
2-Euro-Münze,2-Euro-Münze,noun
2-Euro-Stück,2-Euro-Stück,noun
2-Hexanol,2-Hexanol,noun
2-Hydroxybenzoesäure,2-Hydroxybenzoesäure,noun
2-Hydroxypropansäure,2-Hydroxypropansäure,noun
2-Mark-Schein,2-Mark-Schein,noun
2-Meter-Mann,2-Meter-Mann,noun
2-Methyl-1-propanol,2-Methyl-1-propanol,noun
2-Methyl-2-propanol,2-Methyl-2-propanol,noun
2-Oxopropansäure,2-Oxopropansäure,noun
2-Propanol,2-Propanol,noun
2-Propen-1-ol,2-Propen-1-ol,noun
2-Propenal,2-Propenal,noun
2-Propenol,2-Propenol,noun
2-Zimmer-Wohnung,2-Zimmer-Wohnung,noun
2. Johannesbrief,,noun
2. Korintherbrief,2. Korintherbrief,noun
2. Petrusbrief,,noun
2. Thessalonicherbrief,,noun
2. Timotheusbrief,,noun
2. Weltkrieg,2. Weltkrieg,noun
20-Cent-Münze,20-Cent-Münze,noun
20-Cent-Stück,20-Cent-Stück,noun
20-DM-Schein,20-DM-Schein,noun
20-Euro-Schein,20-Euro-Schein,noun
20-Franken-Note,20-Franken-Note,noun
20-Franken-Schein,20-Franken-Schein,noun
20-Mark-Schein,20-Mark-Schein,noun
200-Euro-Schein,200-Euro-Schein,noun
200-Franken-Note,200-Franken-Note,noun
200-Franken-Schein,200-Franken-Schein,noun
200-Mark-Schein,200-Mark-Schein,noun
24-Stunden-Rennen,24-Stunden-Rennen,noun
24-Stunden-Tankstelle,24-Stunden-Tankstelle,noun
2G-Regel,2G-Regel,noun
