radix,type,gender,syllables,certain,compound
tung,nounSuffix,female,,t,f
ant,nounSuffix,male,,f,f
s,nounSuffix,male,,f,f
ig,nounSuffix,male,,f,f
ich,nounSuffix,male,,f,f
eur,nounSuffix,male,,t,f
ismus,nounSuffix,male,,t,f
iker,nounSuffix,male,,t,f
or,nounSuffix,male,,f,f
ist,nounSuffix,male,,f,f
ier,nounSuffix,male,,f,f
ler,nounSuffix,male,,f,f
er,nounSuffix,male,,f,f
ling,nounSuffix,male,,t,f
loge,nounSuffix,male,0-2,t,f
log,nounSuffix,male,,f,f
är,nounSuffix,male,,f,f
in,nounSuffix,female,,f,f
heit,nounSuffix,female,,t,f
ei,nounSuffix,female,,f,f
a,nounSuffix,female,,f,f
ung,nounSuffix,female,,t,f
schaft,nounSuffix,female,,t,f
age,nounSuffix,female,,f,f
anz,nounSuffix,female,,f,f
ie,nounSuffix,female,,f,f
ion,nounSuffix,female,,f,f
ik,nounSuffix,female,,f,f
enz,nounSuffix,female,,f,f
ade,nounSuffix,female,,f,f
ur,nounSuffix,female,,f,f
ine,nounSuffix,female,,t,f
üre,nounSuffix,female,,f,f
manie,nounSuffix,female,0-2,t,f
keit,nounSuffix,female,,t,f
philie,nounSuffix,female,0-3,t,f
phobie,nounSuffix,female,0-3,t,f
nis,nounSuffix,female,,t,f
algie,nounSuffix,female,0-2,f,f
ette,nounSuffix,female,0-2,f,f
nis,nounSuffix,neutral,,t,f
lein,nounSuffix,neutral,,t,f
tel,nounSuffix,neutral,,f,f
ment,nounSuffix,neutral,,f,f
ma,nounSuffix,neutral,,f,f
ing,nounSuffix,neutral,,f,f
in,nounSuffix,neutral,,f,f
ett,nounSuffix,neutral,,f,f
tum,nounSuffix,neutral,,t,f
ium,nounSuffix,neutral,0-1,t,f
um,nounSuffix,neutral,,t,f
chen,nounSuffix,neutral,,t,f
ett,nounSuffix,neutral,,f,f
meter,nounSuffix,neutral,0-2,f,f
ab,nounPrefix,,,f,f
an,nounPrefix,,,f,f
be,nounPrefix,,,f,f
fehl,nounPrefix,,,f,f
ge,nounPrefix,,,f,f
miss,nounPrefix,,,f,f
ober,nounPrefix,,0-1,f,f
über,nounPrefix,,0-1,f,f
um,nounPrefix,,,f,f
um,nounPrefix,,,f,f
un,nounPrefix,,,f,f
unter,nounPrefix,,0-2,f,f
zu,nounPrefix,,,f,f
ab,verbPrefix,,,f,f
an,verbPrefix,,,f,f
auf,verbPrefix,,,f,f
aus,verbPrefix,,,f,f
be,verbPrefix,,,f,f
bei,verbPrefix,,,f,f
dar,verbPrefix,,,f,f
dran,verbPrefix,,,f,f
durch,verbPrefix,,,f,f
ein,verbPrefix,,,f,f
ent,verbPrefix,,,f,f
er,verbPrefix,,,f,f
fort,verbPrefix,,,f,f
frei,verbPrefix,,,f,f
ge,verbPrefix,,,f,f
her,verbPrefix,,,f,f
hin,verbPrefix,,,f,f
hinter,verbPrefix,,0-3,f,f
hoch,verbPrefix,,,f,f
mit,verbPrefix,,,f,f
nach,verbPrefix,,,f,f
tief,verbPrefix,,,f,f
über,verbPrefix,,0-1,f,f
um,verbPrefix,,,f,f
unter,verbPrefix,,0-2,f,f
ver,verbPrefix,,,f,f
vor,verbPrefix,,,f,f
weg,verbPrefix,,,f,f
zer,verbPrefix,,,f,f
zu,verbPrefix,,,f,f
auseinander,verbPrefix,,0-3-5-8,f,f
empor,verbPrefix,,0-2,f,f
entgegen,verbPrefix,,0-3-5,f,f
entlang,verbPrefix,,0-3,f,f
entzwei,verbPrefix,,0-3,f,f
fern,verbPrefix,,,f,f
fest,verbPrefix,,,f,f
für,verbPrefix,,,f,f
gegen,verbPrefix,,0-2,f,f
heim,verbPrefix,,,f,f
los,verbPrefix,,,f,f
neben,verbPrefix,,0-2,f,f
nieder,verbPrefix,,0-3,f,f
weiter,verbPrefix,,0-3,f,f
zurecht,verbPrefix,,0-2,f,f
zurück,verbPrefix,,0-2,f,f
zusammen,verbPrefix,,0-2-5,f,f
wider,verbPrefix,,0-2,f,f
wieder,verbPrefix,,0-3,f,f
fehl,verbPrefix,,,f,f
miss,verbPrefix,,,f,f
im,verbPrefix,,,f,f
in,verbPrefix,,,f,f
non,verbPrefix,,,f,f
re,verbPrefix,,,f,f
un,verbPrefix,,,f,f
