radix,grammaticalCase,gender,numerus,toUmlaut,type
,nominative,male,singular,false,suffix
es,genitive,male,singular,false,suffix
s,genitive,male,singular,false,suffix
,dative,male,singular,false,suffix
,accusative,male,singular,false,suffix
e,nominative,male,plural,true,suffix
er,nominative,male,plural,true,suffix
er,genitive,male,plural,true,suffix
ern,dative,male,plural,true,suffix
en,dative,male,plural,true,suffix
e,accusative,male,plural,true,suffix
er,accusative,male,plural,true,suffix
,nominative,female,singular,false,suffix
,genitive,female,singular,false,suffix
,dative,female,singular,false,suffix
,accusative,female,singular,false,suffix
en,nominative,female,plural,false,suffix
en,genitive,female,plural,false,suffix
en,dative,female,plural,false,suffix
en,accusative,female,plural,false,suffix
,nominative,neutral,singular,false,suffix
es,genitive,neutral,singular,false,suffix
s,genitive,neutral,singular,false,suffix
,dative,neutral,singular,false,suffix
,accusative,neutral,singular,false,suffix
er,nominative,neutral,plural,true,suffix
e,nominative,neutral,plural,false,suffix
er,genitive,neutral,plural,true,suffix
ern,dative,neutral,plural,true,suffix
er,accusative,neutral,plural,true,suffix
