radix,grammaticalCase,gender,numerus,toUmlaut
,nominative,male,singular,false
es,genitive,male,singular,false
s,genitive,male,singular,false
,dative,male,singular,false
,accusative,male,singular,false
er,nominative,male,plural,true
er,genitive,male,plural,true
ern,dative,male,plural,true
en,dative,male,plural,true
er,accusative,male,plural,true
,nominative,female,singular,false
,genitive,female,singular,false
,dative,female,singular,false
,accusative,female,singular,false
en,nominative,female,plural,false
en,genitive,female,plural,false
en,dative,female,plural,false
en,accusative,female,plural,false
,nominative,neutral,singular,false
es,genitive,neutral,singular,false
s,genitive,neutral,singular,false
,dative,neutral,singular,false
,accusative,neutral,singular,false
er,nominative,neutral,plural,true
e,nominative,neutral,plural,false
er,genitive,neutral,plural,true
ern,dative,neutral,plural,true
er,accusative,neutral,plural,true
