lemma,nominativ-singular
"0,2-Liter-Flasche","0,2-Liter-Flasche"
"0,33-Liter-Flasche","0,33-Liter-Flasche"
"0,5-Liter-Flasche","0,5-Liter-Flasche"
"0,7-Liter-Flasche","0,7-Liter-Flasche"
"0,75-Liter-Flasche","0,75-Liter-Flasche"
"1,2,3-Propentricarbonsäure","1,2,3-Propentricarbonsäure"
"1,2-Benzoldicarbonsäure","1,2-Benzoldicarbonsäure"
"1,2-Butandiol","1,2-Butandiol"
"1,2-Dihydroxypropan","1,2-Dihydroxypropan"
"1,2-Propandiol","1,2-Propandiol"
"1,2-Propylenglycol","1,2-Propylenglycol"
"1,4-Benzoldicarbonsäure","1,4-Benzoldicarbonsäure"
"1,4-Butandiol","1,4-Butandiol"
"1,5-Grad-Ziel","1,5-Grad-Ziel"
"1,6-Liter-Benziner","1,6-Liter-Benziner"
1-Benzolethansäure,1-Benzolethansäure
1-Butanol,1-Butanol
1-Cent-Münze,1-Cent-Münze
1-Cent-Stück,1-Cent-Stück
1-Dodecanol,1-Dodecanol
1-Euro-Job,1-Euro-Job
1-Euro-Jobber,1-Euro-Jobber
1-Euro-Münze,1-Euro-Münze
1-Euro-Stück,1-Euro-Stück
1-Hexanol,1-Hexanol
1-Meter-Brett,1-Meter-Brett
1-Pentanol,1-Pentanol
1-Raum-Wohnung,1-Raum-Wohnung
1-Zimmer-Wohnung,1-Zimmer-Wohnung
1-m-Brett,1-m-Brett
1. Johannesbrief,
1. Korintherbrief,1. Korintherbrief
1. Petrusbrief,
1. Thessalonicherbrief,
1. Timotheusbrief,
1. Weltkrieg,1. Weltkrieg
10-Cent-Münze,10-Cent-Münze
10-Cent-Stück,10-Cent-Stück
10-Euro-Schein,10-Euro-Schein
10-Franken-Note,10-Franken-Note
10-Franken-Schein,10-Franken-Schein
10-Mark-Schein,10-Mark-Schein
10-Meter-Brett,10-Meter-Brett
10-Pfennig-Stück,10-Pfennig-Stück
10-Uhr-Vorstellung,10-Uhr-Vorstellung
10-Uhr-Zug,10-Uhr-Zug
10-m-Brett,10-m-Brett
100-Euro-Schein,100-Euro-Schein
100-Franken-Note,100-Franken-Note
100-Franken-Schein,100-Franken-Schein
100-Mark-Schein,100-Mark-Schein
100-Meter-Hürdenlauf,100-Meter-Hürdenlauf
100-Meter-Lauf,100-Meter-Lauf
100-Watt-Glühbirne,100-Watt-Glühbirne
100-m-Hürdenlauf,100-m-Hürdenlauf
100-m-Lauf,100-m-Lauf
1000-Franken-Note,1000-Franken-Note
1000-Franken-Schein,1000-Franken-Schein
1000-Mark-Schein,1000-Mark-Schein
102-Jährige,
102-Jähriger,
11. September,11. September
110-Meter-Hürdenlauf,110-Meter-Hürdenlauf
110-m-Hürdenlauf,110-m-Hürdenlauf
1G-Regel,1G-Regel
"2,3,4,5,6-Pentahydroxyhexansäure","2,3,4,5,6-Pentahydroxyhexansäure"
"2,3-Dihydroxybernsteinsäure","2,3-Dihydroxybernsteinsäure"
"2,3-Dihydroxybutandisäure","2,3-Dihydroxybutandisäure"
"2,4,6-Trihydroxypyrimidin","2,4,6-Trihydroxypyrimidin"
"2,4,6-Trinitrophenol","2,4,6-Trinitrophenol"
"2,6,8-Trihydroxypurin","2,6,8-Trihydroxypurin"
2-Acetoxybenzoesäure,2-Acetoxybenzoesäure
2-Amino-3-methylbutansäure,2-Amino-3-methylbutansäure
2-Aminobutandisäure,2-Aminobutandisäure
2-Aminoisovaleriansäure,2-Aminoisovaleriansäure
2-Butanon,2-Butanon
2-Butin,2-Butin
2-Cent-Münze,2-Cent-Münze
2-Cent-Stück,2-Cent-Stück
2-Euro-Münze,2-Euro-Münze
2-Euro-Stück,2-Euro-Stück
2-Hexanol,2-Hexanol
2-Hydroxybenzoesäure,2-Hydroxybenzoesäure
2-Hydroxypropansäure,2-Hydroxypropansäure
2-Mark-Schein,2-Mark-Schein
2-Meter-Mann,2-Meter-Mann
2-Methyl-1-propanol,2-Methyl-1-propanol
2-Methyl-2-propanol,2-Methyl-2-propanol
2-Oxopropansäure,2-Oxopropansäure
2-Propanol,2-Propanol
2-Propen-1-ol,2-Propen-1-ol
2-Propenal,2-Propenal
2-Propenol,2-Propenol
2-Zimmer-Wohnung,2-Zimmer-Wohnung
2. Johannesbrief,
