radix,infinitve,1.pers-singular-präsens,2.pers-singular-präsens,3.pers-singular-präsens,1.pers-singular-präteritum,partizip 2,1.pers-konjunktiv 2,imperativ-singular,imperativ-plural,hilfsverb
lieb,lieben,liebe,liebst,liebt,liebte,geliebt,liebte,liebe,liebt,haben
klieb,klieben,kliebe,kliebst,kliebt,klob,gekloben,klöbe,kliebe,kliebt,haben
belfer,belfern,belfere,belferst,belfert,belferte,gebelfert,belferte,belfere,belfert,haben
chatt,chatten,chatte,chattest,chattet,chattete,gechattet,chattete,chatte,chattet,haben
wiss,wissen,weiß,weißt,weiß,wusste,gewusst,wüsste,wisse,wisset,haben
schnabulier,schnabulieren,schnabuliere,schnabulierst,schnabuliert,schnabulierte,schnabuliert,schnabulierte,schnabulier,schnabuliert,haben
brech,brechen,breche,brichst,bricht,brach,gebrochen,bräche,brich,brecht,haben
abbrech,abbrechen,breche ab,brichst ab,bricht ab,brach ab,abgebrochen,bräche ab,brich ab,brecht ab,haben
anbrech,anbrechen,breche an,brichst an,bricht an,brach an,angebrochen,bräche an,brich an,brecht an,haben
aufbrech,aufbrechen,breche auf,brichst auf,bricht auf,brach auf,aufgebrochen,bräche auf,brich auf,brecht auf,sein
ausbrech,ausbrechen,breche aus,brichst aus,bricht aus,brach aus,ausgebrochen,bräche aus,brich aus,brecht aus,haben
einbrech,einbrechen,breche ein,brichst ein,bricht ein,brach ein,eingebrochen,bräche ein,brich ein,brecht ein,sein
verbrech,verbrechen,verbreche,verbrichst,verbricht,verbrach,verbrochen,verbräche,verbrich,verbrecht,haben
zerbrech,zerbrechen,zerbreche,zerbrichst,zerbricht,zerbrach,zerbrochen,zerbräche,zerbrich,zerbrecht,haben
büffel,büffeln,büffele,büffelst,büffelt,büffelte,gebüffelt,büffelte,büffele,büffelt,haben
oktroyier,oktroyieren,oktroyiere,oktroyierst,oktroyiert,oktroyierte,oktroyiert,oktroyierte,oktroyier,oktroyiert,haben
wink,winken,winke,winkst,winkt,winkte,gewinkt,winkte,winke,winkt,haben
mach,machen,mache,machst,macht,machte,gemacht,machte,mache,macht,haben
schmeiß,schmeißen,schmeiße,schmeißt,schmeißt,schmiss,geschmissen,schmisse,schmeiß,schmeißt,haben
besinn,besinnen,besinne,besinnst,besinnt,besann,besonnen,besänne,besinn,besinnt,haben
untersuch,untersuchen,untersuche,untersuchst,untersucht,untersuchte,untersucht,untersuchte,untersuche,untersucht,haben
kauf,kaufen,kaufe,kaufst,kauft,kaufte,gekauft,kaufte,kauf,kauft,haben
wohn,wohnen,wohne,wohnst,wohnt,wohnte,gewohnt,wohnte,wohne,wohnt,haben
seh,sehen,sehe,siehst,sieht,sah,gesehen,sähe,siehe,seht,haben
aal,aalen,aale,aalst,aalt,aalte,geaalt,aalte,aal,aalt,haben
ess,essen,esse,isst,isst,aß,gegessen,äße,iss,esst,haben
trink,trinken,trinke,trinkst,trinkt,trank,getrunken,tränke,trink,trinkt,haben
geh,gehen,gehe,gehst,geht,ging,gegangen,ginge,geh,geht,sein
wandel,wandeln,wandle,wandelst,wandelt,wandelte,gewandelt,wandelte,wandle,wandelt,sein
leck,lecken,lecke,leckst,leckt,leckte,geleckt,leckte,lecke,leckt,haben
fick,ficken,ficke,fickst,fickt,fickte,gefickt,fickte,ficke,fickt,haben
intendier,intendieren,intendiere,intendierst,intendiert,intendierte,intendiert,intendierte,intendiere,intendiert,haben
koch,kochen,koche,kochst,kocht,kochte,gekocht,kochte,koch,kocht,haben
kiff,kiffen,kiffe,kiffst,kifft,kiffte,gekifft,kiffte,kiffe,kifft,haben
sprech,sprechen,spreche,sprichst,spricht,sprach,gesprochen,spräche,sprich,sprecht,haben
delegier,delegieren,delegiere,delegierst,delegiert,delegierte,delegiert,delegierte,delegiere,delegiert,haben
akzeptier,akzeptieren,akzeptiere,akzeptierst,akzeptiert,akzeptierte,akzeptiert,akzeptierte,akzeptier,akzeptiert,haben
stipulier,stipulieren,stipuliere,stipulierst,stipuliert,stipulierte,stipuliert,stipulierte,stipuliere,stipuliert,haben
lieg,liegen,liege,liegst,liegt,lag,gelegen,läge,lieg,liegt,haben
ausscheid,ausscheiden,scheide aus,scheidest aus,scheidet aus,schied aus,ausgeschieden,schiede aus,scheide aus,scheidet aus,haben
zock,zocken,zocke,zockst,zockt,zockte,gezockt,zockte,zocke,zockt,haben
googel,googeln,googel,googelst,googelt,googelte,gegoogelt,googelte,googele,googelt,haben
abbaum,abbaumen,baume ab,baumst ab,baumt ab,baumte ab,abgebaumt,baumte ab,baum ab,baumt ab,haben
abschmier,abschmieren,schmiere ab,schmierst ab,schmiert ab,schmierte ab,abgeschmiert,schmierte ab,schmier ab,schmiert ab,sein
ignorier,ignorieren,ignoriere,ignorierst,ignoriert,ignorierte,ignoriert,ignorierte,ignoriere,ignoriert,haben
spar,sparen,spare,sparst,spart,sparte,gespart,sparte,spare,spart,haben
flieg,fliegen,fliege,fliegst,fliegt,flog,geflogen,flöge,flieg,fliegt,sein
delektier,delektieren,delektiere,delektierst,delektiert,delektierte,delektiert,delektierte,delektier,delektiert,haben
schweig,schweigen,schweige,schweigst,schweigt,schwieg,geschwiegen,schwiege,schweige,schweigt,haben
versteh,verstehen,verstehe,verstehst,versteht,verstand,verstanden,verstände,verstehe,versteht,haben
hör,hören,höre,hörst,hört,hörte,gehört,hörte,hör,hört,haben
les,lesen,lese,liest,liest,las,gelesen,läse,lies,lest,haben
akkumulier,akkumulieren,akkumuliere,akkumulierst,akkumuliert,akkumulierte,akkumuliert,akkumulierte,akkumulier,akkumuliert,haben
marodier,marodieren,marodiere,marodierst,marodiert,marodierte,marodiert,marodierte,marodiere,marodiert,haben
schleif,schleifen,schleife,schleifst,schleift,schleifte,geschleift,schleifte,schleife,schleift,haben
ras,rasen,rase,rast,rast,raste,gerast,raste,ras,rast,sein
fernseh,fernsehen,sehe fern,siehst fern,sieht fern,sah fern,ferngesehen,sähe fern,sieh fern,seht fern,haben
produzier,produzieren,produziere,produzierst,produziert,produzierte,produziert,produzierte,produzier,produziert,haben
arbeit,arbeiten,arbeite,arbeitest,arbeitet,arbeitete,gearbeitet,arbeitete,arbeite,arbeitet,haben
denk,denken,denke,denkst,denkt,dachte,gedacht,dächte,denk,denkt,haben
krieg,kriegen,kriege,kriegst,kriegt,kriegte,gekriegt,kriegte,kriege,kriegt,haben
radebrech,radebrechen,radebreche,radebrechst,radebrecht,radebrechte,geradebrecht,radebrechte,radebreche,radebrecht,haben
billig,billigen,billige,billigst,billigt,billigte,gebilligt,billigte,billige,billigt,haben
sitz,sitzen,sitze,sitzt,sitzt,saß,gesessen,säße,sitz,sitzt,haben
lauf,laufen,laufe,läufst,läuft,lief,gelaufen,liefe,lauf,lauft,sein
schreib,schreiben,schreibe,schreibst,schreibt,schrieb,geschrieben,schriebe,schreibe,schreibt,haben
verzweifel,verzweifeln,verzweifle,verzweifelst,verzweifelt,verzweifelte,verzweifelt,verzweifelte,verzweifle,verzweifelt,sein
schlag,schlagen,schlage,schlägst,schlägt,schlug,geschlagen,schlüge,schlag,schlagt,haben
knuddel,knuddeln,knuddele,knuddelst,knuddelt,knuddelte,geknuddelt,knuddelte,knuddele,knuddelt,haben
guck,gucken,gucke,guckst,guckt,guckte,geguckt,guckte,guck,guckt,haben
verlier,verlieren,verliere,verlierst,verliert,verlor,verloren,verlöre,verliere,verliert,haben
blas,blasen,blase,bläst,bläst,blies,geblasen,bliese,blas,blast,haben
spulg,spulgen,spulch mi,spulchst di,spulcht si,,gspulcht,dáád mi spulche,spulch di,spulcht aü,haben
küss,küssen,küsse,küsst,küsst,küsste,geküsst,küsste,küss,küsst,haben
ausricht,ausrichten,richte aus,richtest aus,richtet aus,richtete aus,ausgerichtet,richtete aus,richte aus,richtet aus,haben
interagier,interagieren,interagiere,interagierst,interagiert,interagierte,interagiert,interagierte,interagiere,interagiert,haben
saturier,saturieren,saturiere,saturierst,saturiert,saturierte,saturiert,saturierte,saturiere,saturiert,haben
lern,lernen,lerne,lernst,lernt,lernte,gelernt,lernte,lerne,lernt,haben
rett,retten,rette,rettest,rettet,rettete,gerettet,rettete,rette,rettet,haben
autorisier,autorisieren,autorisiere,autorisierst,autorisiert,autorisierte,autorisiert,autorisierte,autorisier,autorisiert,haben
paraphrasier,paraphrasieren,paraphrasiere,paraphrasierst,paraphrasiert,paraphrasierte,paraphrasiert,paraphrasierte,paraphrasier,paraphrasiert,haben
lehr,lehren,lehre,lehrst,lehrt,lehrte,gelehrt,lehrte,lehre,lehrt,haben
popp,poppen,poppe,poppst,poppt,poppte,gepoppt,poppte,poppe,poppt,haben
vögel,vögeln,vögele,vögelst,vögelt,vögelte,gevögelt,vögelte,vögele,vögelt,haben
steh,stehen,stehe,stehst,steht,stand,gestanden,stünde,stehe,steht,haben
paar,paaren,paare,paarst,paart,paarte,gepaart,paarte,paare,paart,haben
flügel,flügeln,flügle,flügelst,flügelt,flügelte,geflügelt,flügelte,flügele,flügelt,haben
paddel,paddeln,paddle,paddelst,paddelt,paddelte,gepaddelt,paddelte,paddle,paddelt,sein
paff,paffen,paffe,paffst,pafft,paffte,gepafft,paffte,paff,pafft,haben
ansag,ansagen,sage an,sagst an,sagt an,sagte an,angesagt,sagte an,sag an,sagt an,haben
kuschel,kuscheln,kuschle,kuschelst,kuschelt,kuschelte,gekuschelt,kuschelte,kuschle,kuschelt,haben
aas,aasen,aase,aast,aast,aaste,geaast,aaste,aase,aast,haben
ausreiz,ausreizen,reize aus,reizt aus,reizt aus,reizte aus,ausgereizt,reizte aus,reiz aus,reizt aus,haben
töt,töten,töte,tötest,tötet,tötete,getötet,tötete,töte,tötet,haben
sterb,sterben,sterbe,stirbst,stirbt,starb,gestorben,stürbe,stirb,sterbt,sein
paktier,paktieren,paktiere,paktierst,paktiert,paktierte,paktiert,paktierte,paktiere,paktiert,haben
mauer,mauern,maure,mauerst,mauert,mauerte,gemauert,mauerte,mauer,mauert,haben
wein,weinen,weine,weinst,weint,weinte,geweint,weinte,weine,weint,haben
puder,pudern,pudere,puderst,pudert,puderte,gepudert,puderte,pudere,pudert,haben
pimper,pimpern,pimpere,pimperst,pimpert,pimperte,gepimpert,pimperte,pimpere,pimpert,haben
dehn,dehnen,dehne,dehnst,dehnt,dehnte,gedehnt,dehnte,dehn,dehnt,haben
sammel,sammeln,sammle,sammelst,sammelt,sammelte,gesammelt,sammelte,sammle,sammelt,haben
krökel,krökeln,krökele,krökelst,krökelt,krökelte,gekrökelt,krökelte,krökele,krökelt,haben
schnacksel,schnackseln,schnacksle,schnackselst,schnackselt,schnackselte,geschnackselt,schnackselte,schnacksle,schnackselt,haben
koitier,koitieren,koitiere,koitierst,koitiert,koitierte,koitiert,koitierte,koitiere,koitiert,haben
schummel,schummeln,schummle,schummelst,schummelt,schummelte,geschummelt,schummelte,schummle,schummelt,haben
amalgamier,amalgamieren,amalgamiere,amalgamierst,amalgamiert,amalgamierte,amalgamiert,amalgamierte,amalgamiere,amalgamiert,haben
klau,klauen,klaue,klaust,klaut,klaute,geklaut,klaute,klaue,klaut,haben
fress,fressen,fresse,frisst,frisst,fraß,gefressen,fräße,friss,fresst,haben
schmier,schmieren,schmiere,schmierst,schmiert,schmierte,geschmiert,schmierte,schmiere,schmiert,haben
sims,simsen,simse,simst,simst,simste,gesimst,simste,sims,simst,haben
vermein,vermeinen,vermeine,vermeinst,vermeint,vermeinte,vermeint,vermeinte,vermeine,vermeint,haben
finish,finishen,finishe,finishst,finisht,finishte,gefinisht,finishte,finishe,finisht,haben
sieb,sieben,siebe,siebst,siebt,siebte,gesiebt,siebte,sieb,siebt,haben
aufhör,aufhören,höre auf,hörst auf,hört auf,hörte auf,aufgehört,hörte auf,hör auf,hört auf,haben
schenk,schenken,schenke,schenkst,schenkt,schenkte,geschenkt,schenkte,schenk,schenkt,haben
red,reden,rede,redest,redet,redete,geredet,redete,red,redet,haben
pack,packen,packe,packst,packt,packte,gepackt,packte,pack,packt,haben
reiz,reizen,reize,reizt,reizt,reizte,gereizt,reizte,reize,reizt,haben
palaver,palavern,palavre,palaverst,palavert,palaverte,palavert,palaverte,palavere,palavert,haben
kirr,kirren,kirre,kirrst,kirrt,kirrte,gekirrt,kirrte,kirr,kirrt,haben
